Text,Generic Class,Original class,Source,Dialect
jeye tsunami 3a lebneeen?!,non-offensive,None,(Raïdy and Harmanani 2023),LB
saro 3 hazzet bi 3 iyem.. Allah yestor chou jeyina ba3ed,non-offensive,None,(Raïdy and Harmanani 2023),LB
boukra hek rah ysir: esteze: Jinane ba3ref enno chtaghalte ktir bas… Ana: achat daghte tole3 el sekare sfarret metet bye,non-offensive,None,(Raïdy and Harmanani 2023),LB
too bad ma elon wakil bi lebnen,non-offensive,None,(Raïdy and Harmanani 2023),LB
3eyezne laptop jdid bas mich eder halla2 tek nifte la echtre chi mrattab,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaaa 3eyneee,non-offensive,None,(Raïdy and Harmanani 2023),LB
layle layle👇 ya wayle 🤬 shu bedo ysir 😤,non-offensive,None,(Raïdy and Harmanani 2023),LB
B khsus eno ana ktir day3a kamen,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaaa 3m beghle thank God ma nzelet 3al sheghel lyom,non-offensive,None,(Raïdy and Harmanani 2023),LB
Msibe,non-offensive,None,(Raïdy and Harmanani 2023),LB
Guys fetit debene mn lchebek 3a sawta lawe n2zt w khft 2am 3al wahle tkhabet ta7t lcharchaf😂 Mnih ma 7dn chefne,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
Ahla shi enne day3a b shi 100 major w kelun bhebun.,non-offensive,Sarcasm,(Raïdy and Harmanani 2023),LB
bdal hesse eno eende ktir dares w aam daye3 waete bas eno aanjad ma eende dares halead bas ma aam sade2,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ana zghartewe,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaaa ma bsadi2,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yiiyyy ya aadra KEBOUSSSSSS,non-offensive,None,(Raïdy and Harmanani 2023),LB
CHOUUUU HDORETTT ANA HALA2!! #DarkSeason2 #DarkSeason2,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ya wayle b3ref hal shou3our 🤦‍♂️🤦‍♂️ .. salemtaak,non-offensive,None,(Raïdy and Harmanani 2023),LB
twattaret,non-offensive,None,(Raïdy and Harmanani 2023),LB
YAAA W ESSS,non-offensive,None,(Raïdy and Harmanani 2023),LB
W kif benzal mn l day3a??,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret...,non-offensive,Saying,(Raïdy and Harmanani 2023),LB
Yaret 😂😂,non-offensive,Saying,(Raïdy and Harmanani 2023),LB
pls leh ma hada aam yhebne lyom mn ref2ete :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma baaref kif ya allah :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hehe walla yaret,non-offensive,None,(Raïdy and Harmanani 2023),LB
W yaret btefhame shi btekhlase men mawduu byetlaalik mawduu tene deghre men wara,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret ma abado shee,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ana be3tezer men ka3eb sobbatak,non-offensive,None,(Raïdy and Harmanani 2023),LB
ah🤭 tab ma aam tozbat eende l chart eendik ay fekra leh?:(,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret law deyman hek tbh,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret :(,non-offensive,Saying,(Raïdy and Harmanani 2023),LB
Eh akid w yaret byeje leano hon a2manlo w leane bkhaf aaleh bede yeh ykun b mahal emen,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma ader ma2hour li2an b2it bl matar w ma daharuk b serbia?,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret 3andi ma7al😔😔😔,non-offensive,None,(Raïdy and Harmanani 2023),LB
��yaret,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma se3et :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hahahah yaret fatret som hala2 🙄,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kent 7atet headphones w ma ntabahet  la rje3t aal beit w shefet :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hahaha ya allaaaaa yaret byetla3o b shi jemle jdeede,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret😫,non-offensive,Saying,(Raïdy and Harmanani 2023),LB
Ama bi killon ma 7ebbet :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Eza hada shef siyarte chevrolet trax sawda madroube mn bouza w tiza plz ybaleghne msh aam le2iya mahal ma kent safefa. shakla sarit b obros. Yaret torna sawa my baby Simona.👀😂,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
Yaret😩🥺🥺💜,non-offensive,Saying,(Raïdy and Harmanani 2023),LB
AHAHAAHHAH BRO YARET FINI,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret 3ana menon saro aktar al lebnanieh ma 3andon damir,non-offensive,None,(Raïdy and Harmanani 2023),LB
aam emzah:( yaret,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret btentas,non-offensive,None,(Raïdy and Harmanani 2023),LB
sorry te3ben mnel safar,non-offensive,None,(Raïdy and Harmanani 2023),LB
La2 yaret 😪,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ha ekela sakhne ma btefham ya sis,non-offensive,None,(Raïdy and Harmanani 2023),LB
Bede sewe ghada lyom w 3atlen ham ade 7a2en2arat mn supermarket mn mghala Yaret byerja3o bya3mlo dareebet whatsapp barke l3alam btjen back again,non-offensive,None,(Raïdy and Harmanani 2023),LB
lak w yaret meshe hal balad,non-offensive,None,(Raïdy and Harmanani 2023),LB
“bas oul ene jo3ane mesh yaane ttaamine khara @hayet” -TE2020,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
Ma fiye wAlle3a :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
walla yaret,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret ;(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma chftt :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ayre bja2erte in my avi esha 7elwe w er yaret 3anjad shakle hek irl riyyalet 3a 7ale walaw,offensive,Foul language,(Raïdy and Harmanani 2023),LB
Ma tefsed aanne tyb :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ejjalta 😞 ahli ma ktir eblenin w baytna zghir w kelu maftu7 3a ba3ed so ma7a ykun elu space :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
ma b khaline etsawar ma3o :( https://twitter.com/Soufistication/status/1217402910398730242,non-offensive,None,(Raïdy and Harmanani 2023),LB
Chou kent ye2sen 7asseyt ennou reje3lak l2amal,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret ♥️♥️♥️,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret LU fanar actually burned down. Actually yaret lkel fi harab menna nhareta ella ana 3le2et fiya alone w ma ejit l etfe2iye w woslit l nar 3al benzine w nfajarit fiye w nharit 3al ared. Yaret.,non-offensive,None,(Raïdy and Harmanani 2023),LB
Rawe2: 6 Te3ben: 3 Ze3len: 8 Zi7 ya jahesh: 10,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret la2,non-offensive,None,(Raïdy and Harmanani 2023),LB
Mza7et maz7a t2ile chway w ze3let mne @JoyaK24 w ma 3am tehkine ! Can some1 help wala maz3ouj :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma bede diab :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Bas ana feyte depression lyom?,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret!!!,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret hmume mtl hal ham,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret tbh zahaa ktir,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret....,non-offensive,None,(Raïdy and Harmanani 2023),LB
ma tes2ale :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Sorry hicham mnhebak wmnteb3ak deyman bas be3tezer mafiyer 2o7darak . 2asesan ma3ender yeha wala bader ykoun 3ender yeha . Nehna ma msad2in kif nekhlas min lfased . Mate7rejna !!!!!,non-offensive,None,(Raïdy and Harmanani 2023),LB
Fine ekol aktr mn 5 wajbet bel nhar w bdal jou3ane hada metle?(nb:wajbet ykouno mehrzin tab3an),non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret mnerja3 3a hal zaman,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kilo ma byekol.. 3a seerit il akel jo3an,non-offensive,None,(Raïdy and Harmanani 2023),LB
@LynnD13 w yaret betfi2e 3leyon nos msibe betkoun,non-offensive,None,(Raïdy and Harmanani 2023),LB
woah. yaret,non-offensive,None,(Raïdy and Harmanani 2023),LB
Shi be bakke,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret fi meno heda,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ba3ref. Yaret.,non-offensive,None,(Raïdy and Harmanani 2023),LB
Joubran wl otv wl tiyar hne yelle naza3ou souret l ra2es w yaret yrja3 ysma3 la roukoz,non-offensive,None,(Raïdy and Harmanani 2023),LB
ma tenza3ouwa deja babies :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
ma aajabo l kelkon yaane kelkon haram tab :(,non-offensive,Sarcasm,(Raïdy and Harmanani 2023),LB
Hek insen bala dameer fekrak hamo? Sha3bo el jo3an el mawjou3 3am bytlob meno bas ino y2oum el kerse ele mlaza2 3alaya..,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret!!,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret re7et ma3on.,non-offensive,None,(Raïdy and Harmanani 2023),LB
tab ma leh ma fine enzal aa riad soloh :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khabartkun eno hdort joker w aratet depression zyede???????,non-offensive,None,(Raïdy and Harmanani 2023),LB
Bdal m7amas bde e3ml cha8elte bass e3mla bendam 🤦🏻‍♀️ chelta la da2ne 7esses 7ale a kid 3emro chi 15 years old🤓,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret byaarfo yhko,non-offensive,None,(Raïdy and Harmanani 2023),LB
leh ma bet waslo aa lebnen wle kleb :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
tab ma talabet cocktail leh toli3 fiyo chemem :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Absha3 shi mumken tshufo .. Lamma jo3an yedroubb jo3an kermel za3im sheb3an .. ! #shame #revolution #shame #revolution,non-offensive,None,(Raïdy and Harmanani 2023),LB
aabele enzal aal chevrolet esreda o2ra kteb bas ma bade enzal la hale :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hahahha plz ma t7otte osba3ek aal jereh w tefdahile 3e2ade :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret 3le2et bl dorm,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret btejtemi3 ma3 jem3et l watan,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ehhh😭😭3melet depression aa 3 days bas ta fakker kif bade ehkiya w ma tbayyen chafa2a aw shi,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret ente w mish el siyara :),non-offensive,None,(Raïdy and Harmanani 2023),LB
Dapraset khalas,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ok bas ma 3m le2ilak souwar t3ebet :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
lowkey shta2et dapress aa mashekle lshakhsiye w mawjet lza3al w l ka2ebe,non-offensive,None,(Raïdy and Harmanani 2023),LB
lak yaret,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret ma hkit ya batrak.,non-offensive,None,(Raïdy and Harmanani 2023),LB
cha3re ma ba2 byehmol hemmem kel yom dakhil ajraykon,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret wala ... mensa2et el aahed at 11:00 cv,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret fiye etjehal l aalam add ma lsiyesiye aam byetjehalouna,non-offensive,Sarcasm,(Raïdy and Harmanani 2023),LB
:( Nshala ma Yseer shi nshala tetla3 kezbe la hadd hala2 l wade3 rawe2,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret 3enna ra2is joumhuriye kenna 3erfna ra2yo bel 3am bi siir 🤷🏻‍♀️,non-offensive,Sarcasm,(Raïdy and Harmanani 2023),LB
Dapraset (zyede),non-offensive,None,(Raïdy and Harmanani 2023),LB
Eyem erfene nafse w Arart lyoum ma ro7,non-offensive,None,(Raïdy and Harmanani 2023),LB
W yaret mazbout fi edrab,non-offensive,None,(Raïdy and Harmanani 2023),LB
batne aam be nik halo ad ma jou3ane,offensive,Foul language,(Raïdy and Harmanani 2023),LB
tab ma layko :( he l video ma akhad rahje enough,non-offensive,None,(Raïdy and Harmanani 2023),LB
Sorry 3al mini burger bel ekher bas kenet jou3an nshalla ma ta2alet 3lek bel fetoura.,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret😅👀,non-offensive,None,(Raïdy and Harmanani 2023),LB
ya3ne ma fi sahra bel marmour lyom :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret,non-offensive,Saying,(Raïdy and Harmanani 2023),LB
Yaane yaret naajjil lhareb shwey la etkharraj,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret fiie hez khasre hek w er,offensive,Foul language,(Raïdy and Harmanani 2023),LB
Tab ma ana hek ba3refa ma t3ayte 3layye :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ntaza3 nhare lyoum ma habbeit,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret fiye ethamas hek,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma 3ende zo7layta :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Tab ma :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret kelon bi adro metlak,non-offensive,None,(Raïdy and Harmanani 2023),LB
ohh ya3ne ma 3ende amal :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Be3tezer men ka3eb sobbato la sleiman lakn,non-offensive,None,(Raïdy and Harmanani 2023),LB
Badde 2e7ro2 l cigara 3ala za3al,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret b2adiya ibizaaa,non-offensive,None,(Raïdy and Harmanani 2023),LB
alla yr7am li meo w ychfe joura7a. w ah. minkon daroure ta3mlo gadawet w kil ha nes jou3ane,non-offensive,None,(Raïdy and Harmanani 2023),LB
Walla yaret,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kteir z3elet.. :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret kelkon btes2aloune hek osas mtl @TeresaHabboush,non-offensive,None,(Raïdy and Harmanani 2023),LB
ma ele aleb :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kammiyet el zet el bi jesme bt bakke,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma teftahile jrouhate :(((,non-offensive,None,(Raïdy and Harmanani 2023),LB
Wlkk yaret byenshef,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret kabbayte bayyik mnl chebbek,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma adra ethammal,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret 7ada kasar ejro ablel jury bas la ne7rejon,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret ken fi banet btesma3 rock and roll w metal,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret ma aleta🔥,non-offensive,None,(Raïdy and Harmanani 2023),LB
yaret ken fina nedfa3 osetna honik,non-offensive,None,(Raïdy and Harmanani 2023),LB
��💔💔😭😭 hal mousalsal la 7alo za3alne add ma za3len kel 7ayete,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ana tsallet lyuuuuuuuum yaret jite kenet aamaltelik jaw,non-offensive,None,(Raïdy and Harmanani 2023),LB
"Adey ""friends"" bi da7ik w adey ekhir 7al2ato bi bakke😭😭 ba3d 3nde the last episode💔💔",non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret bas la halla2 anshaf mnel sa7ra,non-offensive,None,(Raïdy and Harmanani 2023),LB
Yaret betmana  bnout bi tabi3et lebnen el 7elwe,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ayre bl aher,offensive,Foul language,(Raïdy and Harmanani 2023),LB
Yaret 😂😂😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma bhebbo :((((,non-offensive,None,(Raïdy and Harmanani 2023),LB
Akh yaret bs mej sou2,non-offensive,None,(Raïdy and Harmanani 2023),LB
Wejje te3ben w ana kamen,non-offensive,None,(Raïdy and Harmanani 2023),LB
leh ma btehkine Elle masalan? :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Wallaaah yaret😪,non-offensive,None,(Raïdy and Harmanani 2023),LB
fi 7ada 3am yesta3mele sourte 3a shi esmo badoo.. bas mesh hayda yalle za3jne ma2hour la2en 7atit 3omre 29! ya sormeye l7e2t w 3am tkazib n2ebir kazzib b damir. shou wen 3ayshin ne7na b wadi l zi2ab!!!,non-offensive,None,(Raïdy and Harmanani 2023),LB
Maba3ref saraha. Hala2 fa2asne 3m y2ul mn south america. Ayre b hal fa2se. Lezem na3mel shi khsoosi ma beseer,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma lakashetne :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ana killon 3-4 times sba7et 3enna bil pool so ma b7es 7a tefro2 kteer bas :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
elle eza dapraset :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
la2 yaret,non-offensive,Saying,(Raïdy and Harmanani 2023),LB
Sahih bas el be2e 3ade,non-offensive,None,(Raïdy and Harmanani 2023),LB
Rayis huwe bel 3ade wbsir enhiyarat kif sent jeye kelo jeye m2aflas ya bisajel lu ya byezra3 l ha2le,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
Negative vibes w mtel l 3ade #3_3abid_zgharr #3_3abid_zgharr,non-offensive,None,(Raïdy and Harmanani 2023),LB
La aade rawa2 aalam ktir b3ide aan baada,non-offensive,None,(Raïdy and Harmanani 2023),LB
3ade rawa2 ma sar shi,non-offensive,None,(Raïdy and Harmanani 2023),LB
ma fi nescafe w ma beshrb ahwe aade😭🥺,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma ele jlede aa sheghel 😭,non-offensive,None,(Raïdy and Harmanani 2023),LB
daye3,non-offensive,None,(Raïdy and Harmanani 2023),LB
Manon asmin hene wl shabeb aade ya albe 🥰,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hahahaha aryah bas enu kif btou3i? Hada be wa3eke?,non-offensive,None,(Raïdy and Harmanani 2023),LB
Aade maam nem lal 10 seboh ana:p,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma b7ayete 7a ensa kif moudir sanawiyet gh*z*r ken ybahdelna w y2oul « سوف تتخز الإجراءات اللازمة » I’m still scared aya ejra2at aamo shu mfakarle 7alak7ess 7ale 7a rou7 3ala el maghfarekhra ta7te aama bi albo baadne bkawbes fi,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khayi men el ekhir lebnen ntaha...ana mani m3kon w mani dodkon...7ezbala metl el 2owet metl el kil belnesbi 2eli lebnen is dying la2an 7okemo ze3ran w sh3bo ghashim. Ha el 7a2i2a.,non-offensive,Known fact,(Raïdy and Harmanani 2023),LB
Yali katabto mawjoud bil we2e3 bas lal asaf ma ktir 3am yedawa 3leh.. Tnen mazloumin wahad marid ma le2a mouse3ade w wahad dahiye.. #بالقلب,non-offensive,None,(Raïdy and Harmanani 2023),LB
guys ana ktir khayfe men corona,non-offensive,None,(Raïdy and Harmanani 2023),LB
Okk so tomorow balich exams w hey awal marra hl2d bkun aamle stress w khayfe w ha ebke w manne abadan bl mood dk chu aam ysir ma3e hey awal marra hekkk Pleaseee some motivation🥺,non-offensive,None,(Raïdy and Harmanani 2023),LB
YEL3AN BA3EDNA MABALASHNA W BATNE AAM TUJA3NE W KHAYFE SHITTTTTT,non-offensive,None,(Raïdy and Harmanani 2023),LB
Mesh aarfe khayfe koun ana mesh ana,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ma baaaaaaaarf kter khayef hahhaahahaha pft lzm nem khls,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kenet aamelta w tsawaret bas khayef ahle yshufune,non-offensive,None,(Raïdy and Harmanani 2023),LB
3enna chajara bl jnayne toula aktr mn 16m w klna e3din khayfin tu2a3 aal beyt cz aam thezz🥺 🥺,non-offensive,None,(Raïdy and Harmanani 2023),LB
RO3EB,non-offensive,None,(Raïdy and Harmanani 2023),LB
BRO AYRE BEL KHOF AYRE B IT,offensive,Foul language,(Raïdy and Harmanani 2023),LB
Ah z3elet yala radene 3l whatsapp,non-offensive,None,(Raïdy and Harmanani 2023),LB
I stopped watching bel ekhir adma z3elet :((,non-offensive,None,(Raïdy and Harmanani 2023),LB
Bs i know heye ele khalas z3elet :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
tzakkaret marra we were drinking w be2e shwaii whiskey ma hadan sherebon w z3elet,non-offensive,None,(Raïdy and Harmanani 2023),LB
hek ma bethoto l lebanese flag? hek yaane sarit? ma btaarfo ino nehna menhot 3alamkon abel 3alamna hon b lebnen? ana z3elet tehran maba2 tehko maae shu ha lwa2hane,non-offensive,Sarcasm,(Raïdy and Harmanani 2023),LB
Ya allah ktir z3elet the two nicest dudes :(,non-offensive,None,(Raïdy and Harmanani 2023),LB
khayef men quiz rhet1020,non-offensive,None,(Raïdy and Harmanani 2023),LB
Eih el kalam 3an l ab7as dyy ana khayef 🥺🥺,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khayef es2al 7elle2i adde byekhod,non-offensive,None,(Raïdy and Harmanani 2023),LB
Balad? Aya balad? Ana manne cheyef fi balad 💁‍♂️😭,non-offensive,None,(Raïdy and Harmanani 2023),LB
halla2 wsolet 3al beit,non-offensive,None,(Raïdy and Harmanani 2023),LB
ahh okk halla2 fhemt chou asdo el wazir,non-offensive,None,(Raïdy and Harmanani 2023),LB
ana feyet nem,non-offensive,None,(Raïdy and Harmanani 2023),LB
hada byaaref wen fie le2e mahal chouf sunset helo boukra?,non-offensive,None,(Raïdy and Harmanani 2023),LB
guys! Mbereh akalet hotdog w lyom burger. Boukra chou bade etghadda? I need ideas,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ana khayef 3aleh walahy ya megz,non-offensive,None,(Raïdy and Harmanani 2023),LB
3 hours in w aam bekteshef eno l aalam btetjehalne aktar mn ma kenet mfakra w sad:(,non-offensive,None,(Raïdy and Harmanani 2023),LB
ana khayef 3aliky,non-offensive,None,(Raïdy and Harmanani 2023),LB
ana khayef 3ala hayaty https://twitter.com/hamzaahmedfathy/status/1258658272569147393,non-offensive,None,(Raïdy and Harmanani 2023),LB
ana khayef,non-offensive,None,(Raïdy and Harmanani 2023),LB
khayef samike 3omre yetla3 3omre aseer,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
Khayef dr. Nadia totlb assignment 3ala el SARS😂😂🌚,non-offensive,None,(Raïdy and Harmanani 2023),LB
la ana khayef tbh 😥,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hayda le khayef meno :p,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khayef nazzel tyeb l sayfiye laen bas nazellon bet arir tshatte,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
Ana khayef aa bentak laenu maa hek bay marid nafsi ha tetlaa sharmouta bi izn alla,offensive,Foul language,(Raïdy and Harmanani 2023),LB
Khayef b3d ma l corona tekhls at3wd 3la a3det l bet aw nefsy ttsad 3n l nzol,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ana khayef 3ala 7ayati,non-offensive,None,(Raïdy and Harmanani 2023),LB
at this point ana khayef as2al,non-offensive,None,(Raïdy and Harmanani 2023),LB
look meen khayef now😳,non-offensive,None,(Raïdy and Harmanani 2023),LB
Omg that's literally eli 3m bfaker feeh bs khayef b3d el korona ma ykon fe sho3'ol,non-offensive,None,(Raïdy and Harmanani 2023),LB
Haha khayef ma yesr2oun el sorcier,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
walahi same w ana khayef,non-offensive,None,(Raïdy and Harmanani 2023),LB
ana khayef hahaha,non-offensive,None,(Raïdy and Harmanani 2023),LB
Idk wallahy bas ana khayef 😂😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khayef men yacine ana 😂😂😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khayef men el corona,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khayef yetshabsheblak enta 😂😂😂😂😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khayef mn el commitment,non-offensive,None,(Raïdy and Harmanani 2023),LB
khayef djfnfknf,non-offensive,None,(Raïdy and Harmanani 2023),LB
Wallahy khayef 3leke,non-offensive,None,(Raïdy and Harmanani 2023),LB
Mesh aam fine edhar men profilo khayef raweh chi,non-offensive,None,(Raïdy and Harmanani 2023),LB
ana msh khayef mn el mawdo3 ad mana khayef mn el nas 3ayza tshof falah byfuck donkey,non-offensive,None,(Raïdy and Harmanani 2023),LB
khayef red aalek w tetrkne on read mr le famous,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ana khayef 3aleik,non-offensive,None,(Raïdy and Harmanani 2023),LB
Khayef samike 3omre,non-offensive,None,(Raïdy and Harmanani 2023),LB
Soret khayef ekoul bezze2 oum jeble shi marad 3a hal dene...,non-offensive,None,(Raïdy and Harmanani 2023),LB
i wanna watch bas ana khayef,non-offensive,None,(Raïdy and Harmanani 2023),LB
ktir khayef kun nsit kif b sou2o... sarle shaher aal add mesh tale3 siyyarte 😔,non-offensive,None,(Raïdy and Harmanani 2023),LB
ana khayef oxembellah😂,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kena khayfin ysir fina metel Greece sorna khayfin ysir fina netel Venezuela,non-offensive,None,(Raïdy and Harmanani 2023),LB
Exactly khayfin mn el. Sawra mn el awal minimum terja3 el sawra el ness ra7 tekol ba3da 3a hal wade3 walla 3eychin 3ichet kleb,non-offensive,None,(Raïdy and Harmanani 2023),LB
ayre fikon eza ha tefhamo shou yaane khalikon bl beit KESS EKHTA mesh yaane rouho aand ref2atkon w biking w tenzalo tetsabaho nteko bl beit khalso rabna ba2a mesh meteryin ndalna khayfin aa halna w aa ahelna mn wara ghabekon,offensive,Foul language,(Raïdy and Harmanani 2023),LB
Kent 3am behke bnafs l mawdou3 kelna rah ndal khayfin rah tekhod wa2t l osa la Netla3 mnel sarsabe,non-offensive,None,(Raïdy and Harmanani 2023),LB
Aktar chi bi kouno khayfin,non-offensive,None,(Raïdy and Harmanani 2023),LB
HAHAHAHAH ok tammanetna 3anjadd kena khayfin 3eshna w shefna,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kenet khayef min corona bass ba3ed hal soura sort mar3oub,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
Ana mar3oub walahi 😫,non-offensive,Joke,(Raïdy and Harmanani 2023),LB
Sadi2 enne mar3oub me l jarad aktar bi 100 marra men l corona,non-offensive,None,(Raïdy and Harmanani 2023),LB
Hada cheyef hek ghayre ana😭😭,non-offensive,None,(Raïdy and Harmanani 2023),LB
Allah cheyef l kel...,non-offensive,None,(Raïdy and Harmanani 2023),LB
kheyef oul la mom ene je3et,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kheyef e3mela 😢,non-offensive,None,(Raïdy and Harmanani 2023),LB
Ana kheyef mn emtihan bokra,non-offensive,None,(Raïdy and Harmanani 2023),LB
Bsara7a cheyef amrad a5tar men Corona 😫,non-offensive,None,(Raïdy and Harmanani 2023),LB
Kheyef mn nasrallah mish eder nem,non-offensive,None,(Raïdy and Harmanani 2023),LB
the hype around it is scary w ana ma bhayete cheyef hek chi mn abel,non-offensive,None,(Raïdy and Harmanani 2023),LB
